Station Number,Station Name,Open Retail Status,Address,City,State,Zip Code,COUNTY,Number of Stations,Latitude,Longitude,Fueling Positions
50,Campbell - E. Hamilton,Open Retail,337 E. Hamilton Ave.,Campbell,CA,95008,Santa Clara,1,37.294683,-121.9461001,3
51,Concord,Open Retail,605 Contra Costa Blvd.,Concord,CA,94523,Contra Costa,1,37.9751179,-122.0664246,2
52,Aliso Viejo - LaPaz,Open Retail,26813 La Paz Road, Aliso Viejo,CA,92656,Orange,1,33.5731873,-117.7095656,4
53,Santa Clarita,Planned,24551 Lyons Avenue,Santa Clarita,CA,91321,Los Angeles,1,34.3788648,-118.5662135,1
54,Rancho Palos Verdes,Planned,28103 Hawthorne Blvd.,Rancho Palos Verdes,CA,90275,Los Angeles,1,33.7792261,-118.3940188,1
55,Chino,Planned,12610 East End Ave.,Chino,CA,91710,San Bernardino,1,34.0236638,-117.727293,1
56,Burbank,Planned,145 W. Verdugo Ave.,Burbank,CA,91502,Los Angeles,1,34.174438,-118.3127046,1
57,Woodside,Planned,17287 Skyline Blvd.,Woodside,CA,94062,San Mateo,1,37.3866587,-122.2660377,2
58,Sherman Oaks,Planned,14478 Ventura Blvd.,Sherman Oaks,CA,91423,Los Angeles,1,34.1506479,-118.4506192,3
59,Culver City,Planned,11284 Venice Blvd.,Culver City,CA,90230,Los Angeles,1,34.0113113,-118.4212654,3
60,San Diego,Planned,5494 Mission Center Rd.,San Diego,CA,92108,San Diego,1,32.7739856,-117.1565724,3
61,San Jose - Bernal,Planned,101 Bernal Road,San Jose,CA,95119,Santa Clara,1,37.2323738,-121.7751144,3
62,Laguna Beach,Planned,104 North Coast Highway,Laguna Beach,CA,92651,Orange,1,33.5430817,-117.7877254,2
63,Redwood City,Planned,503 Whipple Ave.,Redwood City,CA,94063,San Mateo,1,37.4941213,-122.2367116,3
64,Orange - Tustin,Planned,615 South Tustin Street, Orange,CA,92866,Orange,1,33.7783635,-117.8376817,4
65,Cupertino - StevensCreek,Planned,21530 Stevens Creek Boulevard, Cupertino,CA,95014,Santa Clara,1,37.3224708,-122.05384,4
66,Baldwin Park - Merced,Planned,14477 Merced Avenue, Baldwin Park,CA,91706,Los Angeles,1,34.07227,-117.9625557,4
